Business,Description of Item Donated,Method of Receipt,Status,Special Instructions,✔ Cert,Inputted,Title,Display Section (Category),Donor Name,Donor Website,For Fulfillment Name,Donor Email,Location - Packaging?,Descriptor Added to Title,Short Description (~ 10 words),Long Description,Estimated Value,Start Bid 33%,Starting Bid,Location,Image URLs
Earthfire Arts Studio,One (1) Annual Family Membership ($165),Email,Received,"Once you have a winner, please send us their name and email. We will reach out to them to get them started. They are also welcome to email us once you confirm. At that time, we will also request your Tax ID.",Y,N,Earthfire Arts Studio - One (1) Annual Family Membership ($165) (E),"Art, Jewelry & Photography",Earthfire Arts Studio,https://earthfireartsstudio.com/,,"earthfireartsstudio@gmail.com
",,One (1) Annual Family Membership ($165),One (1) Annual Family Membership ($165),"EarthFire Arts Studio Family Annual Membership
For up to 2 adults and 2 kids
Located in Outer Sunset.

Please email earthfireartsstudio@gmail.com with names/ages of everyone on the membership.

What you get for joining our studio:
25% Off Pottery and Canvas Projects
15% Off Events and Birthdays
10% Off Retail Items
10% Off Clay Memberships

Free clay molding tutorial session to show you the basics of working with clay - for adults only (1 hour) with the purchase of a clay kit. ",165,54.45,55,"Inner Sunset, SF","https://drive.google.com/file/d/1C129Z6Ggbhi691zzEWNepjWiD-Pd9WS1/view?usp=sharing, https://drive.google.com/file/d/1iIe_B-ce94tFp2qhq8u6jf3JCnMgXE80/view?usp=sharing,https://drive.google.com/file/d/1kvi_hfN7IVQyQE-DIsBiNT_sgBlL8id3/view?usp=sharing"
Blue Waters Kayaking,4-Hour Tandem 2 Person Kayak Rental ($98),Email,Received,Pick up kayak with your own vehicle (business provides pads & straps) at Point Reyes office and launch at Tomales Bay,Y,,Blue Waters Kayaking - 4-Hour Tandem 2 Person Kayak Rental ($98) (E),Entertainment/Activities,Blue Waters Kayaking,https://bluewaterskayaking.com/,,info@bluewaterskayaking.com,,4-Hour Tandem 2 Person Kayak Rental ($98),4-Hour Tandem 2 Person Kayak Rental ($98),"Gift Certificate for a 4 hour 'take away' tandem (2 person) kayak rental to be used during our standard rental hours (9AM - 4PM).

Pick up your tandem kayak at our Point Reyes Station office and head to a nearby launch location on beautiful Tomales Bay for a paddling adventure!

Our kayak rentals are take-away: you pick-up your kayak at our office, load it onto your vehicle, and drive to a launch location on Tomales Bay (we are happy to offer suggestions). We have pads & straps to help secure the kayak, and our staff will assist you and show you how to load it onto your vehicle. Anyone under 18 years old must be accompanied by an adult, and children must be at least 5 years old and weigh at least 50 Ibs.

Please make a reservation by calling our office at 415-669-2600 at least 48 hours in advance.

Read more about our take away rentals on our website: https://www.bluewaterskayaking.com/rentals/",98,32.34,35,Tomales Bay,
Marin Symphony,Two (2) Seats to Marin Symphony Performance of Choice ($178),Mail,Pending,MAILED TO EC,Y,,Marin Symphony - Two (2) Seats to Marin Symphony Performance of Choice ($178),Entertainment/Activities,Marin Symphony,https://marinsymphony.org/,,nanci@marinsymphony.org,,Two (2) Seats to Marin Symphony Performance of Choice ($178),Two (2) Seats to Marin Symphony Performance of Choice ($178),Good for two seats to one Marin Symphony performance of choice for the season. ,178,58.74,60,Marin,
Oakland Zoo,One (1) Family Pass for Four ($115),Email,Received,,Y,,Oakland Zoo - One (1) Family Pass for Four ($115) (E),Entertainment/Activities,Oakland Zoo,https://www.oaklandzoo.org/,,,,One (1) Family Pass for Four ($115),One (1) Family Pass for Four ($115),"One Oakland Zoo Fun 4-Pack includes free admission for two adults and two children (age 2 - 14) and free parking for one vehicle.

This Family Donation Pass is for a single visit during regular zoo hours only. Special events are excluded.",115,37.95,40,Oakland,
VJB Cellars,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,VJB Cellars - VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,VJB Cellars,https://vjbcellars.com/,,,,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Delight in a seated tasting of VJB Cellars' family wines on our charming Italian-inspired piazza located in Sonoma Valley. You will be guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for your lunch, enabling your group to order from our deli/marketplace without the need for a lunch reservation.

Valid Sunday-Friday, certificates cannot be combined. Reservations required.",160,52.8,50,Kenwood (Sonoma County),
VJB Cellars,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,VJB Cellars - VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,VJB Cellars,https://vjbcellars.com/,,,,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Delight in a seated tasting of VJB Cellars' family wines on our charming Italian-inspired piazza located in Sonoma Valley. You will be guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for your lunch, enabling your group to order from our deli/marketplace without the need for a lunch reservation.

Valid Sunday-Friday, certificates cannot be combined. Reservations required.",160,52.8,50,Kenwood (Sonoma County),
VJB Cellars,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,VJB Cellars - VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,VJB Cellars,https://vjbcellars.com/,,,,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Delight in a seated tasting of VJB Cellars' family wines on our charming Italian-inspired piazza located in Sonoma Valley. You will be guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for your lunch, enabling your group to order from our deli/marketplace without the need for a lunch reservation.

Valid Sunday-Friday, certificates cannot be combined. Reservations required.",160,52.8,50,Kenwood (Sonoma County),
VJB Cellars,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,VJB Cellars - VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,VJB Cellars,https://vjbcellars.com/,,,,VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),VJB Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Delight in a seated tasting of VJB Cellars' family wines on our charming Italian-inspired piazza located in Sonoma Valley. You will be guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for your lunch, enabling your group to order from our deli/marketplace without the need for a lunch reservation.

Valid Sunday-Friday, certificates cannot be combined. Reservations required.",160,52.8,50,Kenwood (Sonoma County),
Wellington Cellars,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,Wellington Cellars - Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,Wellington Cellars,https://wellingtoncellars.com/,,,,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Treat yourself to a seated tasting of Wellington Cellars' family wines in the picturesque Olive Grove located in Sonoma Valley. You will be expertly guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for you, so you can continue to unwind and savor wine by the glass or bottle.

Valid Sunday-Friday, certificates cannot be combined. Reservations required.",160,52.8,50,Kenwood (Sonoma County),
Wellington Cellars,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,Wellington Cellars - Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,Wellington Cellars,https://wellingtoncellars.com/,,,,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Treat yourself to a seated tasting of Wellington Cellars' family wines in the picturesque Olive Grove located in Sonoma Valley. You will be expertly guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for you, so you can continue to unwind and savor wine by the glass or bottle.

Valid Sunday-Friday, certificates cannot be combined.",160,52.8,50,Kenwood (Sonoma County),
